"Title","Relased_Year","Genre ","IMDB_Rating"
"Dumb & Dumberâ ","1994","Comedy","7.3"
"Silver Linings Playbookâ ","2012","Comedy|Drama|Romance","7.8"
"Good Morning, Vietnamâ ","1987","Biography|Comedy|Drama|War","7.3"
"Borat: Cultural Learnings Of America For Make Benefit Glorious Nation Of Kazakhstanâ ","2006","Comedy","7.3"
"American Hustleâ ","2013","Crime|Drama","7.3"
"Apollo 13Â ","1995","Adventure|Drama|History","7.6"
"Lethal Weapon 3Â ","1992","Action|Crime|Thriller","6.7"
"Ride Alongâ ","2014","Action|Comedy|Crime|Romance","6.2"
"Close Encounters Of The Third Kindâ ","1977","Drama|Sci-Fi","7.7"
"The Matrixâ ","1999","Action|Sci-Fi","8.7"
"The Simpsons Movieâ ","2007","Adventure|Animation|Comedy","7.4"
"Paranormal Activityâ ","2007","Horror","6.3"
"Star Trekâ ","2009","Action|Adventure|Sci-Fi","8"
"One Flew Over The Cuckoo'S Nestâ ","1975","Drama","8.7"
"The Pursuit Of Happynessâ ","2006","Biography|Drama","8"
"Hitchâ ","2005","Comedy|Romance","6.6"
"Gone Girlâ ","2014","Crime|Drama|Mystery|Thriller","8.1"
"Magic Mikeâ ","2012","Comedy|Drama","6.1"
"Ice Age: Dawn Of The Dinosaursâ ","2009","Action|Adventure|Animation|Comedy|Family","7"
"The Fast And The Furiousâ ","2001","Action|Crime|Thriller","6.7"
"The Fast And The Furiousâ ","2001","Action|Crime|Thriller","6.7"
"The Fast And The Furiousâ ","2001","Action|Crime|Thriller","6.7"
"Rambo: First Blood Part Iiâ ","1985","Action|Adventure|Thriller|War","6.4"
"I Am Legendâ ","2007","Drama|Horror|Sci-Fi","7.2"
"Cinderellaâ ","2015","Drama|Family|Fantasy|Romance","7"
"Cinderellaâ ","2015","Drama|Family|Fantasy|Romance","7"
"X-Men 2Â ","2003","Action|Adventure|Fantasy|Sci-Fi|Thriller","7.5"
"Skyfallâ ","2012","Action|Adventure|Thriller","7.8"
"Skyfallâ ","2012","Action|Adventure|Thriller","7.8"
"The Mummy Returnsâ ","2001","Action|Adventure|Fantasy|Thriller","6.3"
"Jerry Maguireâ ","1996","Comedy|Drama|Romance|Sport","7.3"
"Terminator 2: Judgment Dayâ ","1991","Action|Sci-Fi","8.5"
"War Of The Worldsâ ","2005","Adventure|Sci-Fi|Thriller","6.5"
"The Maskâ ","1994","Action|Comedy|Crime|Fantasy","6.9"
"Wayne'S Worldâ ","1992","Comedy|Music","7"
"Porky'Sâ ","1981","Comedy","6.2"
"Superbadâ ","2007","Comedy","7.6"
"A Few Good Menâ ","1992","Drama|Thriller","7.6"
"The Bourne Supremacyâ ","2004","Action|Mystery|Thriller","7.8"
"Mission: Impossibleâ ","1996","Action|Adventure|Thriller","7.1"
"Doctor Zhivagoâ ","1965","Drama|Romance|War","8"
"Daddy'S Homeâ ","2015","Comedy|Family","6.1"
"The Grudgeâ ","2004","Horror|Mystery|Thriller","5.9"
"Pulp Fictionâ ","1994","Crime|Drama","8.9"
"Bringing Down The Houseâ ","2003","Comedy","5.5"
"Identity Thiefâ ","2013","Comedy|Crime","5.7"
"Driving Miss Daisyâ ","1989","Comedy|Drama|Family","7.4"
"Paranormal Activity 3Â ","2011","Horror","5.8"
"Cheaper By The Dozenâ ","2003","Comedy|Family","5.8"
"Ocean'S Elevenâ ","2001","Crime|Thriller","7.8"
"Happy Feetâ ","2006","Animation|Comedy|Family|Music|Romance","6.5"
"As Good As It Getsâ ","1997","Comedy|Drama|Romance","7.7"
"Jackass 3Dâ ","2010","Action|Comedy|Documentary","7.1"
"Bigâ ","1988","Comedy|Drama|Family|Fantasy|Romance","7.3"
"The Bodyguardâ ","1992","Action|Drama|Music|Romance","6.1"
"Twinsâ ","1988","Comedy|Crime","6"
"21 Jump Streetâ ","2012","Action|Comedy|Crime","7.2"
"Butch Cassidy And The Sundance Kidâ ","1969","Biography|Crime|Drama|Western","8.1"
"Mary Poppinsâ ","1964","Comedy|Family|Fantasy|Musical","7.8"
"Speedâ ","1994","Action|Adventure|Crime|Thriller","7.2"
"The Vowâ ","2012","Drama|Romance","6.8"
"Taken 2Â ","2012","Action|Crime|Thriller","6.3"
"Dodgeball: A True Underdog Storyâ ","2004","Comedy|Sport","6.7"
"Dodgeball: A True Underdog Storyâ ","2004","Comedy|Sport","6.7"
"Black Swanâ ","2010","Drama|Thriller","8"
"Crocodile Dundee Iiâ ","1988","Action|Adventure|Comedy","5.5"
"The Da Vinci Codeâ ","2006","Mystery|Thriller","6.6"
"The Hunt For Red Octoberâ ","1990","Action|Adventure|Thriller","7.6"
"Mamma Mia!Â ","2008","Comedy|Family|Musical|Romance","6.3"
"Argoâ ","2012","Biography|Drama|History|Thriller","7.7"
"Walk The Lineâ ","2005","Biography|Drama|Music|Romance","7.9"
"Flashdanceâ ","1983","Drama|Music|Romance","6.1"
"American Pieâ ","1999","Comedy","7"
"Mission: Impossible Iiâ ","2000","Action|Adventure|Thriller","6.1"
"Captain America: The Winter Soldierâ ","2014","Action|Adventure|Sci-Fi","7.8"
"The Devil Wears Pradaâ ","2006","Comedy|Drama|Romance","6.8"
"Hotel Transylvania 2Â ","2015","Animation|Comedy|Family|Fantasy","6.7"
"Sweet Home Alabamaâ ","2002","Comedy|Romance","6.1"
"The Spongebob Movie: Sponge Out Of Waterâ ","2015","Adventure|Animation|Comedy|Family|Fantasy","6"
"Jurassic Park Iiiâ ","2001","Action|Adventure|Sci-Fi|Thriller","5.9"
"Screamâ ","1996","Horror|Mystery","7.2"
"Les Misã©Rablesâ ","2012","Drama|Musical|Romance","7.6"
"Air Force Oneâ ","1997","Action|Adventure|Drama|Thriller","6.4"
"Big Momma'S Houseâ ","2000","Action|Comedy|Crime","5.1"
"Bad Grandpaâ ","2013","Comedy","6.6"
"Unforgivenâ ","1992","Drama|Western","8.3"
"Lee Daniels' The Butlerâ ","2013","Biography|Drama","7.2"
"Pocahontasâ ","1995","Adventure|Animation|Drama|Family|History|Musical|Romance","6.6"
"Lucyâ ","2014","Action|Sci-Fi|Thriller","6.4"
"Shark Taleâ ","2004","Adventure|Animation|Comedy|Family","6"
"Remember The Titansâ ","2000","Biography|Drama|Sport","7.8"
"District 9Â ","2009","Action|Sci-Fi|Thriller","8"
"The Flintstonesâ ","1994","Comedy|Family|Fantasy","4.8"
"Kung Fu Pandaâ ","2008","Action|Adventure|Animation|Comedy|Family","7.6"
"Lone Survivorâ ","2013","Action|Biography|Drama|Thriller|War","7.6"
"Patch Adamsâ ","1998","Biography|Comedy|Drama|Romance","6.7"
"Fast Fiveâ ","2011","Action|Crime|Thriller","7.3"
"Star Trek Iv: The Voyage Homeâ ","1986","Adventure|Comedy|Sci-Fi","7.3"
"Gladiatorâ ","2000","Action|Drama|Romance","8.5"
"Freaky Fridayâ ","2003","Comedy|Family|Fantasy|Music|Romance","6.1"
"Batman Foreverâ ","1995","Action|Adventure|Fantasy","5.4"
"Rise Of The Planet Of The Apesâ ","2011","Action|Drama|Sci-Fi|Thriller","7.6"
"Young Frankensteinâ ","1974","Comedy","8"
"The 40-Year-Old Virginâ ","2005","Comedy|Romance","7.1"
"Marley & Meâ ","2008","Comedy|Drama|Family","7.1"
"Saw Iiâ ","2005","Horror|Mystery","6.6"
"Jaws 2Â ","1978","Adventure|Horror|Thriller","5.7"
"Batman Returnsâ ","1992","Action","7"
"The Karate Kidâ ","1984","Action|Drama|Family|Sport","7.2"
"The Karate Kidâ ","1984","Action|Drama|Family|Sport","7.2"
"Horrible Bossesâ ","2011","Comedy|Crime","6.9"
"X-Menâ ","2000","Action|Adventure|Sci-Fi","7.4"
"Runaway Brideâ ","1999","Comedy|Romance","5.5"
"Grown Upsâ ","2010","Comedy","6"
"Paranormal Activity 2Â ","2010","Horror","5.7"
"Pinocchioâ ","1940","Animation|Family|Fantasy|Musical","7.5"
"My Best Friend'S Weddingâ ","1997","Comedy|Romance","6.3"
"Bad Teacherâ ","2011","Comedy","5.7"
"Batman V Superman: Dawn Of Justiceâ ","2016","Action|Adventure|Sci-Fi","6.9"
